epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,30450.6,0.72667,0.53812,1.23755,0.85068,0.82796,0.89417,0.69952,0.8417,0.65929,1.33698,0.000308412,0.000308412,0.000308412
65,30918.5,0.73152,0.52411,1.24084,0.85739,0.80806,0.89948,0.73235,0.72602,0.63421,1.24944,0.000294239,0.000294239,0.000294239
66,31385.8,0.743,0.52387,1.24878,0.88473,0.82796,0.91654,0.72695,0.77536,0.60899,1.27766,0.000280275,0.000280275,0.000280275
67,31854,0.71591,0.51617,1.23776,0.92029,0.7957,0.9168,0.7364,0.73188,0.60834,1.23324,0.000266532,0.000266532,0.000266532
68,32321,0.72982,0.52587,1.25245,0.88444,0.82292,0.91477,0.73242,0.79684,0.63629,1.29646,0.000253024,0.000253024,0.000253024
69,32789.7,0.72265,0.53005,1.23652,0.89862,0.7957,0.87763,0.70708,0.78544,0.68366,1.2736,0.000239766,0.000239766,0.000239766
70,33257.7,0.72249,0.50395,1.22939,0.88824,0.7957,0.88441,0.69158,0.82298,0.65199,1.32595,0.000226769,0.000226769,0.000226769
71,33727,0.72692,0.5233,1.24631,0.89112,0.8172,0.90697,0.70171,0.81387,0.6003,1.30439,0.000214046,0.000214046,0.000214046
72,34196.8,0.6994,0.50781,1.22533,0.91245,0.83871,0.91764,0.72905,0.77019,0.57473,1.27854,0.000201611,0.000201611,0.000201611
73,34665.6,0.70056,0.49947,1.22526,0.94076,0.79032,0.90227,0.71924,0.77983,0.5977,1.26725,0.000189475,0.000189475,0.000189475
74,35134.2,0.7071,0.51045,1.21802,0.88432,0.82202,0.91281,0.7294,0.75687,0.6169,1.25294,0.000177651,0.000177651,0.000177651
75,35602.3,0.71224,0.50176,1.22644,0.88905,0.81852,0.90279,0.74199,0.71765,0.63506,1.23228,0.000166149,0.000166149,0.000166149
76,36071.8,0.72695,0.51221,1.23478,0.86609,0.83458,0.91091,0.73021,0.76937,0.59174,1.27577,0.000154982,0.000154982,0.000154982
77,36541.4,0.68723,0.48789,1.20887,0.92848,0.79032,0.90933,0.73865,0.71719,0.5756,1.23911,0.000144161,0.000144161,0.000144161
78,37011,0.69657,0.51064,1.21725,0.93544,0.77904,0.89844,0.72376,0.75228,0.60408,1.25898,0.000133695,0.000133695,0.000133695
79,37479.9,0.69662,0.50128,1.21426,0.9227,0.77419,0.89478,0.7217,0.73042,0.62414,1.24259,0.000123596,0.000123596,0.000123596
80,37948.3,0.66983,0.46755,1.19292,0.94727,0.76344,0.90061,0.72489,0.74051,0.62404,1.25041,0.000113873,0.000113873,0.000113873
